lang,lang_cv,lang_mean,lang_sd,n_words,lang_cv_n_resid,lang_mean_n_resid,lang_cv2
el,0.42381606,0.192651149,0.081431514,7738,0.03885788099028853,-0.045632895075184726,-0.5603837241093752
gu,0.371083171,0.245043274,0.090028061,6262,0.022399184082683488,-0.05047553908303545,-0.560664514178923
hi,0.382897908,0.201764114,0.076849536,6894,0.018681882192172927,-0.0692476706189693,-0.901081180489747
ig,0.08348969,0.893055297,0.073735948,1434,-0.14654131627904896,0.4103213993845096,5.564740272743352
id,0.359734899,0.219287966,0.078620246,7387,-0.016597100182861424,-0.03260678533924677,-0.4147377679185431
it,0.412088218,0.202804402,0.0834128,8853,-2.7221316622932923e-4,0.007756650230881401,0.09299112643241088
ja,0.004050416,0.992833254,0.004022775,6305,-0.3456903393861329,0.6989818494991715,173.75613836199426
kn,0.447833042,0.173000223,0.077007725,7343,0.07258238729685768,-0.08060071386522605,-1.0466575121551254
ko,0.381528284,0.247268571,0.093886863,7161,0.010750463281150202,-0.013389769631776793,-0.14261600828836718
ar,0.426045177,0.166900395,0.07097401,7704,0.041922582360980565,-0.07270206516344144,-1.0243477177552942
bn,0.358308166,0.217291188,0.077332922,5676,0.024025721471669537,-0.10095091413357785,-1.3054066951404972
bg,0.412191199,0.198692187,0.08163174,8349,0.012217077328734782,-0.015899144430335937,-0.19476669773712943
zh,0.035164873,0.876497061,0.03083958,7118,-0.3345561792500334,0.6141713117860162,19.91503489301788
nl,0.367037779,0.223084223,0.081551949,8282,-0.03128974994078387,0.005894836336922921,0.07228320609385952
fr,0.418282968,0.198186637,0.082716072,8026,0.02624689785030898,-0.028929647268774783,-0.34974638627393695
de,0.43949168,0.196111279,0.085876227,8747,0.02973630598945759,-0.003046828808977803,-0.035479304522517074
ml,0.437321598,0.186955023,0.081174228,6445,0.08414020108748815,-0.10146760937271249,-1.2499978364156723
mr,0.361028896,0.236415925,0.084581454,5463,0.031981141793946066,-0.09008566615706845,-1.0650758753457756
ne,0.337023694,0.262241507,0.087601478,5044,0.018273288362180118,-0.08050762359764402,-0.9190212931983182
pa,0.302642064,0.295726659,0.08869242,5185,-0.01957355917510145,-0.04155492252575582,-0.46852845514595076
pl,0.422569899,0.194032506,0.081773606,8603,0.016353470559447303,-0.010709481712182722,-0.1309650171496989
pt,0.407463373,0.201733837,0.081945606,8679,-6.208322691583779e-4,-6.110298549125148e-5,-7.456529821898136e-4
ro,0.383579113,0.206182639,0.078714473,7084,0.014693645120658683,-0.057461526302240495,-0.729999504693889
ru,0.438433571,0.192238179,0.084215293,9218,0.017102895854282762,0.01134401170775512,0.13470251427796043
es,0.41896723,0.197625667,0.082601327,8987,0.0033136133728079997,0.007774025696363818,0.09411502186113568
tl,0.343003909,0.226919044,0.077128647,4328,0.0418499271685181,-0.14359437833857977,-1.861751553071841
ta,0.44608278,0.168114996,0.074414056,6213,0.09860301761691614,-0.12930388732787604,-1.7376271940865047
te,0.404591914,0.187682454,0.075467805,6905,0.040105552072243145,-0.08290278423747444,-1.0985185568531433
th,0.386089238,0.226275599,0.086791329,3772,0.09859951823042296,-0.1657978040759544,-1.9103037824890825
tr,0.433501976,0.179268253,0.077565114,7736,0.04859294901209393,-0.05909334496272922,-0.7618546781576214
ur,0.284242133,0.255462642,0.072178077,6104,-0.06055884419468882,-0.04618292819905201,-0.6398470299929438
vi,0.34858251,0.230641162,0.07951636,1139,0.12580142693724952,-0.26353193402830605,-3.314185081262599
yo,0.222955087,0.564367461,0.124411758,1943,-0.019585108828526626,0.10137102776458828,0.8148026311515371
fa,0.382669375,0.192092387,0.073430979,6241,0.03450148431164035,-0.10424074190225283,-1.4195744537500015
en,0.444501844,0.182933194,0.081317397,10000,0.0039527283283661285,0.03236259673765976,0.3979787589322339
